short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,beam_diameter_a_um,beam_diameter_b_um,beam_diameter_definition,fluence_basis,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,reduced_mass_definition,kappa_recorded_not_used,transmission_factor,reference_file,diagnostic_only,parameter_status,dataset,density_index,intensity_index,I_wcm2,ne_cm3,log10_I_grid_wcm2,log10_ne_grid_cm3,Wpi_grid_cm3_fs,Wav_grid_cm3_fs,Wtotal_grid_cm3_fs,log10_Wtotal_grid_cm3_fs
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,0,10000000000.0,10000000000.0,10.0,10.0,1.1526252412640317e+18,0.008781014216901526,1.1526252412640317e+18,18.06168812593565
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,1,12648552168.552958,10000000000.0,10.10204081632653,10.0,1.4579831707049948e+18,0.011106711641528415,1.4579831707049948e+18,18.163752511010667
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,2,15998587196.060574,10000000000.0,10.204081632653061,10.0,1.8442641892551795e+18,0.01404838216189466,1.8442641892551795e+18,18.265823133484094
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,3,20235896477.251556,10000000000.0,10.306122448979592,10.0,2.332929648252762e+18,0.01776916946584934,2.332929648252762e+18,18.36790164242157
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,4,25595479226.99533,10000000000.0,10.408163265306122,10.0,2.9511421016223657e+18,0.022475426698065366,2.9511421016223657e+18,18.46999012189055
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,5,32374575428.1764,10000000000.0,10.510204081632653,10.0,3.733285513760922e+18,0.028428160710096777,3.733285513760922e+18,18.572091205117637
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,6,40949150623.80419,10000000000.0,10.612244897959183,10.0,4.722894215460644e+18,0.035957507379766655,4.722894215460644e+18,18.67420821825165
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,7,51794746792.31202,10000000000.0,10.714285714285714,10.0,5.975102519272958e+18,0.04548104079441066,5.975102519272958e+18,18.776345361197176
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,8,65512855685.954956,10000000000.0,10.816326530612244,10.0,7.559758722035544e+18,0.05752693171681883,7.559758722035544e+18,18.878507934739204
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",surface3d,0,9,82864277285.4686,10000000000.0,10.918367346938776,10.0,9.565388755403137e+18,0.07276323969169698,9.565388755403137e+18,18.98070262526718
