short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,beam_diameter_a_um,beam_diameter_b_um,beam_diameter_definition,fluence_basis,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,reduced_mass_definition,kappa_recorded_not_used,transmission_factor,reference_file,diagnostic_only,parameter_status,dataset,point_index,I_wcm2,gamma_ge_reference,Wtotal_peak_cm3_fs,Wtotal_direct_at_reference_cm3_fs
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,0,49999999999.99999,22.781079005560052,5.814273022421675e+18,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,1,61199253779.35998,20.591416780305547,7.118220350813027e+18,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,2,74906973263.01015,18.612219593144108,8.715032588205137e+18,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,3,91685017331.33382,16.823258053556682,1.0670707433486449e+19,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,4,112221092868.50633,15.206247171122577,1.3066223316313571e+19,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,5,137356942837.13632,13.744659464483961,1.6000993092681069e+19,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,6,168122848060.939,12.423556033824596,1.9597139742899945e+19,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,7,205779856891.80368,11.22943387025372,2.40049673783748e+19,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,8,251871473692.03748,10.150087841442401,2.9409038085990232e+19,5.341788590126687e+19
Ge_NIR,"Ge, 0.8 $\mu$m",Germanium (Ge),NIR,1,0.8,100.0,0.0485,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,455627080169.33093,4.699,,0.66,1.0,electron-hole reduced effective mass,0.259,0.5787195082694603,../input_parameters/Ge_Keldysh_Parameter.docx,True,"At 800 nm, hnu is about 1.550 eV and exceeds both the indirect and direct gaps. Ge is absorbing; this Re(n)-only zero-D result is diagnostic and omits one-photon absorption, kappa, reflection, and propagation.",total_comparison,9,308286924765.2079,9.174485942866962,3.603710558609616e+19,5.341788590126687e+19
