short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,beam_diameter_a_um,beam_diameter_b_um,beam_diameter_definition,fluence_basis,reference_I0_wcm2,I0_wcm2,n0,n2_m2_per_w,Eg_eV,mred_over_me,reduced_mass_definition,kappa_recorded_not_used,transmission_factor,reference_file,diagnostic_only,parameter_status,dataset,point_index,I_wcm2,gamma_krs5_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,0,10000000000.0,72.18239387222938,59673892365372.17,66140765.55881473,59673923092051.24,4492197026207033.5
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,1,12648552168.552958,64.18164925592734,95470949744729.31,214132612.2544371,95471049223052.33,7186959086752863.0
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,2,15998587196.060574,57.06771250206047,152742363601106.62,693265023.4433401,152742685666248.88,1.1498287275161208e+16
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,3,20235896477.251556,50.74228923646837,244370920536791.03,2244500818.716465,244371963243562.97,1.839600532111033e+16
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,4,25595479226.99533,45.11798009889478,390968493066673.7,7266847519.345109,390971868930849.5,2.9431855660232484e+16
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,5,32374575428.1764,40.11707313238957,625513660706180.6,23527790869.15977,625524590542882.6,4.70888375844373e+16
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,6,40949150623.80419,35.670470025073584,1000772537224591.6,76178148923.2998,1000807924807452.9,7.534060707525424e+16
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,7,51794746792.31202,31.716731367981634,1601173649682310.0,246662785103.69678,1601288227600739.0,1.205479864283127e+17
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,8,65512855685.954956,28.201227737161975,2561811326146788.0,798765487293.4258,2562182323860222.5,1.9289807702746592e+17
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,9,82864277285.4686,25.0753848704014,4098859047105039.5,2587098961494.4487,4100060413225934.5,3.087218824999997e+17
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,10,104811313415.46873,22.29601250906509,6558247926388917.0,8382131550552.084,6562138724981205.0,4.942508857009774e+17
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,11,132571136559.0111,19.824707631553466,1.0493588568807098e+16,27175685727512.37,1.050619260989134e+16,7.91783980272379e+17
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,12,167683293681.101,17.627323832760723,1.6790921946055254e+16,88218905793797.33,1.683177102931013e+16,1.2700642656411374e+18
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,13,212095088792.01926,15.67349951786734,2.6868477931474104e+16,287100030203631.75,2.700098493562725e+16,2.0425627991771976e+18
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,14,268269579527.97272,13.936238391446945,4.299661151483988e+16,939186628881443.5,4.342717346423977e+16,3.3024011019189064e+18
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,15,339322177189.53296,12.391536445440021,6.881035807347064e+16,3103295042056702.0,7.021403389772654e+16,5.398133788544686e+18
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,16,429193426012.8778,11.01805029202904,1.1013161652431474e+17,1.0462063501850446e+16,1.148703770849924e+17,9.030370268771996e+18
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,17,542867543932.3859,9.796802258718644,1.762842247972907e+17,3.674898453603186e+16,1.930896566166983e+17,1.5889913377539365e+19
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,18,686648845004.2998,8.710918170873581,2.8220927709022237e+17,1.398249153151811e+17,3.496916525523278e+17,3.1308674277604827e+19
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,19,868511373751.352,7.745394198614776,4.518552886651918e+17,5.74126800254891e+17,8.168734388524887e+17,7.461368760125122e+19
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,20,1098541141987.5573,6.886889546560762,7.236266643061379e+17,1.7705420034989143e+18,2.2252944903451372e+18,1.733996762867913e+20
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,21,1389495494373.136,6.123542121976226,1.1591433262970555e+18,3.435128546291056e+18,4.3982430645546204e+18,3.211828354058907e+20
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,22,1757510624854.7966,5.444804634385781,1.857338544085942e+18,5.245882417871378e+18,7.006293673490052e+18,5.185392918717182e+20
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,23,2222996482526.191,4.841298862015749,2.9771723745081564e+18,7.203452067289169e+18,1.014729878369192e+19,7.824468150183243e+20
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,24,2811768697974.237,4.304686071440449,4.774264499798183e+18,9.432943742539327e+18,1.4198683779614958e+19,1.1412587420102381e+21
KRS5_NIR,"KRS-5, 0.8 $\mu$m",KRS-5 (TlBr-TlI mixed crystal),NIR,1,0.8,100.0,0.0606,162.1,152.4,full 1/e^2 intensity diameter,surface incident,,569298990891.9888,2.4908831176,,2.5,1.0,electron-hole reduced effective mass,,0.8176034674157621,../input_parameters/KRS5_Keldysh_Parameter.docx,True,The 800-nm real index is a Cauchy interpolation and the 2.50 eV gap is provisional. The extinction coefficient is unavailable; this Re(n)-only result is diagnostic.,component_scaling,25,3556480306223.121,3.8275518000014785,7.660027078839735e+18,1.2104648828998527e+19,1.9764085706646487e+19,1.6378454324771983e+21
