I_wm2,Wav_cm3_fs,Wpi_cm3_fs,diagnostic_only,ne_total_cm3,time_s
1455191.5228366703,0.0,9.895521191379852e-51,True,0.0,-3.0000000000000003e-13
1625866.5487912884,6.282493583587856e-133,1.9251891717976007e-50,True,1.0343756074905672e-50,-2.9933259176863185e-13
1816110.8974517863,6.017098365683574e-132,3.73893275221391e-50,True,3.028845111305147e-50,-2.9866518353726367e-13
2028114.928591867,3.4298517831348025e-131,7.251701764293772e-50,True,6.842992864276313e-50,-2.979977753058955e-13
2264307.933094114,1.691590184984102e-130,1.4045984704610188e-49,True,1.438250473913012e-49,-2.973303670745273e-13
2527383.485010893,7.619610526945891e-130,2.716175131182366e-49,True,2.8892525582031947e-49,-2.966629588431591e-13
2820327.404295462,3.255046617085804e-129,5.244539977885189e-49,True,5.653059209588915e-49,-2.959955506117909e-13
3146448.5904038297,1.39651532636656e-128,1.0112647264067354e-48,True,1.1085804733329701e-48,-2.953281423804227e-13
3509413.0119829173,5.860140849788151e-128,1.9467493697549486e-48,True,2.1502624842258967e-48,-2.9466073414905453e-13
3913281.1651896373,2.4062728961624152e-127,3.7427048933967483e-48,True,4.126260142823332e-48,-2.9399332591768635e-13
4362549.343025219,1.0054839529934335e-126,7.183931608248081e-48,True,7.988625962824636e-48,-2.9332591768631817e-13
4862195.090648235,4.147162143469075e-126,1.376972978275701e-47,True,1.5367881712482562e-47,-2.9265850945495e-13
5417727.25717948,1.6807037899257181e-125,2.635189625118351e-47,True,2.930837315878316e-47,-2.919911012235818e-13
6035241.093298792,6.934838341912326e-125,5.036186853854196e-47,True,5.640603213783683e-47,-2.9132369299221363e-13
6721478.886233839,2.8306109958969203e-124,9.609604257022974e-47,True,1.0798473501424143e-46,-2.906562847608454e-13
7483896.6698586745,1.1361839822062176e-123,1.8310241094170033e-46,True,2.0502892350420582e-46,-2.899888765294772e-13
8330737.597886253,4.6379347526724144e-123,3.4835620877429796e-46,True,3.926225878495652e-46,-2.8932146829810903e-13
9271112.622903291,1.8752575533410253e-122,6.617673728338148e-46,True,7.483749202647112e-46,-2.8865406006674085e-13
10315089.183651382,7.458625893298318e-122,1.2553357369094765e-45,True,1.4149712319532272e-45,-2.8798665183537267e-13
11473788.667908633,3.0129211102886797e-121,2.3777853570631726e-45,True,2.6964672411237366e-45,-2.873192436040045e-13
12759493.489029523,1.2068892918882433e-120,4.4969416873019436e-45,True,5.117663085169044e-45,-2.866518353726363e-13
14185764.691131337,4.756806102254105e-120,8.492462747125875e-45,True,9.635761461067626e-45,-2.8598442714126813e-13
15767571.081606993,1.9015901968433567e-119,1.6014618847413294e-44,True,1.8273879539087078e-44,-2.8531701890989995e-13
17521430.98064838,7.546503519973629e-119,3.0154050776904707e-44,True,3.453367479475022e-44,-2.846496106785317e-13
19465567.776390396,2.947438618838282e-118,5.669307995938102e-44,True,6.475056143562698e-44,-2.8398220244716353e-13
21620080.581805427,1.1660877606129911e-117,1.0643061472901734e-43,True,1.2220575426944468e-43,-2.8331479421579535e-13
24007131.406263966,4.584699521446209e-117,1.995095447401373e-43,True,2.2995348484772637e-43,-2.8264738598442717e-13
26651150.381526347,1.7744254623436453e-116,3.7343581039415296e-43,True,4.293639642331621e-43,-2.81979977753059e-13
29579060.719630092,6.947723340801826e-116,6.97956635970294e-43,True,8.064617248585764e-43,-2.813125695216908e-13
32820525.229596205,2.7062159592848874e-115,1.3025608749756968e-42,True,1.5109954396288425e-42,-2.8064516129032263e-13
36408216.38201532,1.0378955534731885e-114,2.4272713603679608e-42,True,2.809517977776835e-42,-2.7997775305895444e-13
40378112.0864383,4.022023128445793e-114,4.516474671181052e-42,True,5.251749088804731e-42,-2.7931034482758626e-13
44769819.537157446,1.552047989928946e-113,8.391388839821696e-42,True,9.797484667700852e-42,-2.7864293659621803e-13
49626929.689626716,5.898372655786729e-113,1.5567889415830517e-41,True,1.8141036275504106e-41,-2.7797552836484985e-13
54997405.15367069,2.262257552732099e-112,2.8838749110587683e-41,True,3.374851091818722e-41,-2.7730812013348167e-13
60934004.53215415,8.64841318676576e-112,5.334335251232322e-41,True,6.268924601315022e-41,-2.766407119021135e-13
67494746.49637197,3.256828092824062e-111,9.852410693423183e-41,True,1.15589164365151e-40,-2.759733036707453e-13
74743417.17365362,1.2363200099306683e-110,1.817024193756197e-40,True,2.1400980243217134e-40,-2.753058954393771e-13
82750124.73020475,4.6822721659601354e-110,3.3460769531113635e-40,True,3.958208710451359e-40,-2.7463848720800894e-13
91591905.36487126,1.7471956216055876e-109,6.152705244349467e-40,True,7.267698646702475e-40,-2.7397107897664076e-13
101353385.28921129,6.5647135436376025e-109,1.129672949144515e-39,True,1.3391938679523463e-39,-2.733036707452726e-13
112127503.65805599,2.4630317585964152e-108,2.0710749665430607e-39,True,2.466230252071792e-39,-2.7263626251390435e-13
124016301.8348796,9.106998238373666e-108,3.791369456020184e-39,True,4.509235626144245e-39,-2.7196885428253617e-13
137131784.8301047,3.386848943138924e-107,6.930299073328834e-39,True,8.26958167383842e-39,-2.71301446051168e-13
151596861.24050754,1.258851646253059e-106,1.2649267770103323e-38,True,1.516340947613709e-38,-2.706340378197998e-13
167546368.5468592,4.612064821215637e-106,2.3053310847723999e-38,True,2.760799599108722e-38,-2.699666295884316e-13
185128191.1977246,1.6977447769699133e-105,4.195256182945208e-38,True,5.039118996705026e-38,-2.6929922135706344e-13
204504479.52304366,6.2513229408053345e-105,7.623257800958332e-38,True,9.200030060298851e-38,-2.6863181312569526e-13
225852978.18508005,2.269359893614611e-104,1.383180246642642e-37,True,1.6679900989173557e-37,-2.6796440489432703e-13
249368473.5899575,8.26886657844183e-104,2.5059505072529625e-37,True,3.0300996435807362e-37,-2.672969966629589e-13
275264370.45429325,3.0162245219528885e-103,4.53339544527427e-37,True,5.508223126316054e-37,-2.6662958843159067e-13
303774408.55200434,1.0849280021233028e-102,8.188991830974602e-37,True,9.944422301553734e-37,-2.659621802002225e-13
335154531.56111836,3.913069655241683e-102,1.4770469920696325e-36,True,1.79800515696096e-36,-2.652947719688543e-13
369684920.8931411,1.414000642206127e-101,2.6601987942645306e-36,True,3.2543452635348506e-36,-2.646273637374861e-13
407672208.42374563,5.0395078574618105e-101,4.783988103402332e-36,True,5.850502939677789e-36,-2.6395995550611794e-13
449451883.15813774,1.7992344355986089e-100,8.590587828602475e-36,True,1.0528268850887913e-35,-2.6329254727474976e-13
495390908.0628136,6.440669624662918e-100,1.5403232763806988e-35,True,1.8973444749676126e-35,-2.626251390433816e-13
545890564.5837336,2.2743955770311345e-99,2.757763420851419e-35,True,3.3965256503945707e-35,-2.6195773081201335e-13
601389543.7550205,8.038174219778513e-99,4.930135332020158e-35,True,6.083527317996154e-35,-2.6129032258064517e-13
662367304.2893273,2.850418603837633e-98,8.800689530912067e-35,True,1.0915900544886175e-34,-2.60622914349277e-13
729347719.6372248,9.973225131197032e-98,1.5686690059054626e-34,True,1.945831314238356e-34,-2.599555061179088e-13
802903037.7167495,3.4892126199344864e-97,2.7919145603811162e-34,True,3.4688606858611798e-34,-2.592880978865406e-13
883658178.8526382,1.2256983861763616e-96,4.961686716887709e-34,True,6.1973260837505115e-34,-2.5862068965517244e-13
972295399.4370217,4.249110875064576e-96,8.804666409980747e-34,True,1.1000301989754701e-33,-2.5795328142380426e-13
1069559350.9375277,1.4716299270555053e-95,1.5601016520754238e-33,True,1.9518729820814358e-33,-2.572858731924361e-13
1176262566.14484,5.1210235036761203e-95,2.76025431380585e-33,True,3.4720097659514095e-33,-2.566184649610679e-13
1293291406.9799113,1.7589533239855486e-94,4.876428964556184e-33,True,6.136682482821051e-33,-2.5595105672969967e-13
1421612510.78091,6.03075757349264e-94,8.602227437566829e-33,True,1.0838021510240577e-32,-2.552836484983315e-13
1562279774.7742076,2.078877726879849e-93,1.515222356662485e-32,True,1.9195072618053394e-32,-2.546162402669633e-13
1716441921.4124064,7.074655937782465e-93,2.6650057767117124e-32,True,3.378257867934935e-32,-2.539488320355951e-13
1885350690.4500585,2.4013086295799424e-92,4.680329244020763e-32,True,5.938579984471811e-32,-2.5328142380422694e-13
2070369707.0356042,8.199758522745002e-92,8.20750019887161e-32,True,1.0472039476870405e-31,-2.5261401557285876e-13
2272984078.741649,2.7647262219528186e-91,1.437149173130133e-31,True,1.8351964502425045e-31,-2.519466073414906e-13
2494810778.348582,9.290260515494379e-91,2.5127492505913997e-31,True,3.2110704354886544e-31,-2.512791991101224e-13
2737609873.355692,3.1424919410984934e-90,4.386850845882129e-31,True,5.637752401297223e-31,-2.506117908787542e-13
3003296667.6337867,1.0497740795363144e-89,7.647384262234067e-31,True,9.837924766441885e-31,-2.49944382647386e-13
3293954825.372768,3.492307690150657e-89,1.3311572895498971e-30,True,1.7133738027552647e-30,-2.492769744160178e-13
3611850552.534833,1.1701706211194054e-88,2.3136737994800864e-30,True,2.9951211961895904e-30,-2.486095661846496e-13
3959447916.4160013,3.872910215638299e-88,4.015423005693942e-30,True,5.20422528973547e-30,-2.4794215795328144e-13
4339425389.669171,1.2755652725710813e-87,6.958519941877291e-30,True,9.021732009285852e-30,-2.4727474972191326e-13
4754693711.26791,4.233768180009633e-87,1.204089587750916e-29,True,1.5702071694267472e-29,-2.466073414905451e-13
5208415163.41825,1.3882829444623217e-86,2.0804490713538292e-29,True,2.716695030841826e-29,-2.459399332591769e-13
5704024370.375118,4.5268846174880955e-86,3.5893164711927355e-29,True,4.687742179794117e-29,-2.452725250278087e-13
6245250732.518302,1.4883630078913462e-85,6.183334980989852e-29,True,8.123331674623323e-29,-2.4460511679644053e-13
6836142616.913628,4.8352463801134296e-85,1.063629077713786e-28,True,1.3994533902258851e-28,-2.439377085650723e-13
7481093433.957099,1.5610026929308173e-84,1.8268967252434277e-28,True,2.4036652135293784e-28,-2.432703003337041e-13
8184869738.599623,5.083883165795948e-84,3.1332433999064303e-28,True,4.14711984755352e-28,-2.4260289210233594e-13
8952641504.107212,1.6362904416436046e-83,5.365752971459508e-28,True,7.113925147415078e-28,-2.4193548387096776e-13
9790014726.358696,5.2301765778215406e-83,9.175369927270283e-28,True,1.2162453553218447e-27,-2.412680756395996e-13
10703066527.351728,1.6872840496286302e-82,1.5666531709378101e-27,True,2.0892705358807675e-27,-2.406006674082314e-13
11698382937.909245,5.380274880512585e-82,2.671028409432109e-27,True,3.568568248764194e-27,-2.399332591768632e-13
12783099551.590797,1.7027015241746748e-81,4.547163136043116e-27,True,6.073036179622273e-27,-2.3926585094549503e-13
13964945254.554863,5.4411141351351185e-81,7.72963412454856e-27,True,1.0386733548487975e-26,-2.3859844271412685e-13
15252289249.619148,1.718905262469207e-80,1.311999604567227e-26,True,1.766497982491724e-26,-2.379310344827586e-13
16654191607.077448,5.386059664408224e-80,2.2236419184192905e-26,True,2.9924609590197506e-26,-2.3726362625139044e-13
