I_wcm2,Wpi_cm3_fs,diagnostic_only,gamma
10000000000.0,0.0010419407149333745,True,80.49469776949938
11568875283.162832,0.0024979124221452403,True,74.83791930966075
13383887531.73759,0.005988380979102741,True,69.57867191000854
15483652565.85496,0.01435619472378561,True,64.6890190082513
17912844546.22002,0.0344164919573456,True,60.142987288723255
20723146452.190296,0.08250699807296673,True,55.91642871489739
23974349678.010784,0.19779322495227547,True,51.98689225758571
27735626141.98418,0.47416327832067023,True,48.33350463746231
32086999973.704437,1.136683754328632,True,44.93685944842603
37121050090.663574,2.7248705050914817,True,41.77891407283668
42944879887.89272,6.531992699026293,True,38.84289384105165
49682395947.34387,15.658065718928396,True,36.11320292616612
57476944248.353584,37.53375030573201,True,33.57534150064096
66494359966.65059,89.96961890942703,True,31.215828714762555
76926495748.7913,215.65438788526808,True,29.022131087804254
88995303528.85225,516.901019926025,True,26.982595931510875
102957556731.25127,1238.9136307877222,True,25.086389452259574
119110313328.3008,2969.318356401052,True,23.323439203101223
137797235983.35596,7116.258624398067,True,21.684380579994603
159415903745.60028,17053.855650297173,True,20.160507078026683
184426270858.55328,40866.31389926888,True,18.74372404338542
213360452650.14108,97921.00434628807,True,17.426505675420344
246834046706.8651,234611.06585478573,True,16.201855050390904
285559230199.01117,562052.9244889979,True,15.063266954552288
330359912012.8346,1346340.207703568,True,14.004693329152609
382189262063.31146,3224577.8252825816,True,13.020511143788688
442149990737.44867,7721887.707683317,True,12.105492527467089
511517809929.3145,18488070.603117045,True,11.254776998710105
591768574818.883,44255268.963361934,True,10.463845647195487
684609683857.4672,105907664.60948856,True,9.728497129785934
792016405019.254,253372491.3130911,True,9.044825353441604
916273901188.6731,605951795.6243099,True,8.409198726469688
1060025848806.8824,1448556584.0575385,True,7.818240867896042
1226330684177.5645,3461131082.307258,True,7.268812672488836
1418726674116.599,8265039296.113415,True,6.757995636165765
1641307195375.1267,19722675006.37196,True,6.2830763532110785
1898807824465.2612,47023862555.28831,True,5.841532102953228
2196707090793.235,112001506971.21483,True,5.431017449341314
2541343036702.639,266429546762.9387,True,5.049351782238422
2940048064334.714,632796320022.448,True,4.694507734252728
3401304938279.246,1500018415199.4673,True,4.364600411577764
3934927263095.845,3546886639565.66,True,4.0578773816371365
4552268275507.31,8359713503974.122,True,3.7727093643493053
5266462393484.28,19618282392259.86,True,3.5075815775652024
6092704661368.687,45767147214270.445,True,3.2610856907067274
7048574036451.889,105867004312316.39,True,3.0319123438646547
8154407395185.187,241772748743430.75,True,2.818844192618156
9433732216299.773,540831498712159.2,True,2.6207494416309034
10913767146512.738,1164729838005856.2,True,2.436575832674647
12626001098748.578,2303208018466564.5,True,2.265345055145596
14606863203649.86,3205644526572802.0,True,2.106147549382616
16898497868124.621,929752558737809.5,True,1.9581376751831228
19549661430912.594,2441548168041878.0,True,1.8205292198524012
22616759492228.645,6375571256821614.0,True,1.6925912219254113
26165046987488.234,1.6553013866657838e+16,True,1.5736440883773484
30270016537634.68,4.272533812125281e+16,True,1.4630559846978235
35019004614317.2,1.0964440735134104e+17,True,1.3602394786532155
40513049692353.78,2.7907910482804877e+17,True,1.264648419909182
46869041923141.92,7.009488595261885e+17,True,1.1757750389382193
54222210065015.92,1.7059848045980541e+18,True,1.0931472498020032
62728998581962.56,3.7153520025780393e+18,True,1.0163261424811318
72570396123242.31,1.612836418761323e+18,True,0.9449036514318319
83955786199951.03,4.174358861443401e+18,True,0.8785003879852347
97127401984711.67,1.0777659967919952e+19,True,0.8167636250751469
112365480013875.16,2.7269982689518305e+19,True,0.7593654235894399
129994222441324.75,5.7351500738922594e+19,True,0.7060008903923897
150388694695541.3,4.102230676536948e+19,True,0.6563865587647996
173982805293036.22,1.0523128688490557e+20,True,0.6102588826589688
201278537584993.84,2.4613703227739338e+20,True,0.5673728367701363
232856629849819.66,2.0380577485253565e+20,True,0.5275006149881574
269388930959017.53,5.16611324400913e+20,True,0.49043042031569145
311652694492943.7,4.7065901928023674e+20,True,0.45596533982510273
360547115425049.9,1.1840330662572254e+21,True,0.4239222986779515
417112461205653.3,1.2133929917615862e+21,True,0.3941310876509387
482552204274127.9,2.971872872445179e+21,True,0.366433459002641
558258626886270.06,3.3953000674387516e+21,True,0.34068228587834454
645842443019699.1,4.103560641531601e+21,True,0.31674078078786344
747167067586806.6,9.05484392927126e+21,True,0.2944817690049517
864388262059829.6,1.261507259414546e+22,True,0.2737870130286937
1000000000000000.0,1.7022678003822126e+22,True,0.2545465845184934
