short,name,material,region,mat_flag,wavelength_um,tau_fs,F0_jcm2,I_lidt_wcm2,gamma_lidt_zns_reference,n0,n2_m2_W,Eg_eV,mred_over_me,transmission_factor,dataset,point_index,I_wcm2,gamma_zns_reference,Wpi_peak_cm3_fs,Wav_peak_cm3_fs,Wtotal_peak_cm3_fs,ne_max_cm3
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,0,10000000000.0,48.672151314954476,130441661582532.16,3670634334.955435,130443366795682.88,9819714749142330.0
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,1,12648552168.552958,43.27729764348627,208692718678100.7,11884293983.900715,208698239479938.28,1.5710857085329438e+16
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,2,15998587196.060574,38.480413146386816,333887896577651.5,38478853329.57735,333905771071698.2,2.51370820127044e+16
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,3,20235896477.251556,34.215218522071645,534191601787506.75,124595090934.3366,534249475147132.75,4.022134660498022e+16
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,4,25595479226.99533,30.422780910891493,854667450520899.9,403493436105.8873,854854840662605.2,6.436512257304095e+16
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,5,32374575428.1764,27.0506996106148,1367419857375919.5,1307017994866.9294,1368026672841886.0,1.0302627137039259e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,6,40949150623.80419,24.052382047748612,2187823384501204.2,4235860034864.202,2189788757660396.0,1.6498779364876803e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,7,51794746792.31202,21.386400000680474,3500495494319677.5,13741302146378.182,3506863218545286.0,2.6446653055404666e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,8,65512855685.954956,19.01591717947612,5600890349727929.0,44665069859212.11,5621535608897225.0,4.247467458490649e+17
ZnSe_NIR,"ZnSe, 0.8 $\mu$m",ZnSe,NIR,1,0.8,100.0,0.112,1052169752143.6095,4.745015509347765,2.52417562979068,2.3e-18,2.7,0.17,0.6705099999999999,component_scaling,9,82864277285.4686,16.9081802531136,8961765270882979.0,145771376473647.25,9028790741306550.0,6.848567177468922e+17
