short,density_index,intensity_index,log10_I_grid_wcm2,log10_ne_grid_cm3,log10_Wtotal_grid_cm3_fs
ZnSe_NIR,0,0,10.0,10.0,14.715707091893954
ZnSe_NIR,0,1,10.10204081632653,10.0,14.91980838616473
ZnSe_NIR,0,2,10.204081632653061,10.0,15.12391461706886
ZnSe_NIR,0,3,10.306122448979592,10.0,15.3280269293261
ZnSe_NIR,0,4,10.408163265306122,10.0,15.53214667288501
ZnSe_NIR,0,5,10.510204081632653,10.0,15.736277352488575
ZnSe_NIR,0,6,10.612244897959183,10.0,15.940417934298733
ZnSe_NIR,0,7,10.714285714285714,10.0,16.144571656762302
ZnSe_NIR,0,8,10.816326530612244,10.0,16.348740501085963
ZnSe_NIR,0,9,10.918367346938776,10.0,16.552926056924207
ZnSe_NIR,0,10,11.020408163265307,10.0,16.757128850819985
ZnSe_NIR,0,11,11.122448979591837,10.0,16.961347136187783
ZnSe_NIR,0,12,11.224489795918368,10.0,17.165574763325324
ZnSe_NIR,0,13,11.326530612244898,10.0,17.369797476808007
ZnSe_NIR,0,14,11.428571428571429,10.0,17.573986508865495
ZnSe_NIR,0,15,11.53061224489796,10.0,17.778087468246685
ZnSe_NIR,0,16,11.63265306122449,10.0,17.98200088660469
ZnSe_NIR,0,17,11.73469387755102,10.0,18.185547543730916
ZnSe_NIR,0,18,11.83673469387755,10.0,18.388404854569803
ZnSe_NIR,0,19,11.938775510204081,10.0,18.590055462423244
ZnSe_NIR,0,20,12.040816326530612,10.0,18.789318891590927
ZnSe_NIR,0,21,12.142857142857142,10.0,18.984074959943335
ZnSe_NIR,0,22,12.244897959183675,10.0,19.169620416295725
ZnSe_NIR,0,23,12.346938775510203,10.0,19.33376017315848
ZnSe_NIR,0,24,12.448979591836736,10.0,19.425727241497995
ZnSe_NIR,0,25,12.551020408163264,10.0,18.947992622772727
ZnSe_NIR,0,26,12.653061224489797,10.0,19.23629031082471
ZnSe_NIR,0,27,12.755102040816327,10.0,19.521414049354085
ZnSe_NIR,0,28,12.857142857142858,10.0,19.80382693138453
ZnSe_NIR,0,29,12.959183673469388,10.0,20.08313699605162
ZnSe_NIR,0,30,13.061224489795919,10.0,20.358259678044192
